Date,Region,Produit,Unites,Prix_Unitaire,Revenu,Cout,Profit
2025-11-23,Ouest,Clavier mecanique,11,75.92,835.12,698.02,137.1
2025-11-24,Nord,Ordinateur portable,16,1057.85,16925.6,10442.47,6483.13
2025-11-24,Nord,Souris sans fil,35,41.67,1458.45,928.89,529.56
2025-11-24,Ouest,Souris sans fil,6,30.46,182.76,122.49,60.27
2025-11-25,Est,Webcam HD,37,38.7,1431.9,966.5,465.4
2025-11-25,Ouest,Ecran 27 pouces,30,294.68,8840.4,5585.82,3254.58
2025-11-27,Nord,Ordinateur portable,22,871.44,19171.68,15149.04,4022.64
2025-11-27,Est,Ordinateur portable,13,868.98,11296.74,9494.48,1802.26
2025-11-27,Nord,Ordinateur portable,15,1008.76,15131.4,10751.55,4379.85
2025-11-29,Est,Ecran 27 pouces,19,173.39,3294.41,2718.61,575.8
2025-11-30,Ouest,Clavier mecanique,38,52.7,2002.6,1363.3,639.3
2025-11-30,Sud,Souris sans fil,15,28.55,428.25,288.7,139.55
2025-12-02,Nord,Ecran 27 pouces,32,311.72,9975.04,6874.66,3100.38
2025-12-02,Ouest,Ecran 27 pouces,6,251.16,1506.96,968.79,538.17
2025-12-03,Est,Clavier mecanique,21,54.3,1140.3,708.82,431.48
2025-12-03,Nord,Casque audio,22,140.28,3086.16,1820.91,1265.25
2025-12-04,Sud,Webcam HD,3,31.32,93.96,60.39,33.57
2025-12-04,Est,Souris sans fil,2,34.3,68.6,38.98,29.62
2025-12-05,Est,Ordinateur portable,22,928.28,20422.16,11309.7,9112.46
2025-12-05,Ouest,Casque audio,2,144.91,289.82,180.33,109.49
2025-12-06,Nord,Webcam HD,33,83.5,2755.5,1771.2,984.3
2025-12-07,Est,Clavier mecanique,31,106.75,3309.25,1886.74,1422.51
2025-12-07,Sud,Ecran 27 pouces,39,265.66,10360.74,8412.3,1948.44
2025-12-08,Est,Ordinateur portable,39,771.29,30080.31,17038.53,13041.78
2025-12-09,Nord,Casque audio,30,172.16,5164.8,3924.42,1240.38
2025-12-10,Ouest,Casque audio,24,84.27,2022.48,1299.77,722.71
2025-12-12,Ouest,Casque audio,26,84.87,2206.62,1222.85,983.77
2025-12-13,Sud,Ordinateur portable,23,892.95,20537.85,17381.09,3156.76
2025-12-14,Ouest,Clavier mecanique,5,66.04,330.2,238.46,91.74
2025-12-16,Est,Webcam HD,5,47.58,237.9,170.1,67.8
2025-12-20,Est,Ordinateur portable,7,890.19,6231.33,3882.09,2349.24
2025-12-21,Ouest,Webcam HD,22,30.22,664.84,535.66,129.18
2025-12-21,Sud,Webcam HD,27,53.45,1443.15,951.45,491.7
2025-12-22,Est,Ordinateur portable,4,675.3,2701.2,1723.39,977.81
2025-12-23,Ouest,Ordinateur portable,8,956.57,7652.56,5256.84,2395.72
2025-12-23,Sud,Souris sans fil,36,42.45,1528.2,987.96,540.24
2025-12-24,Ouest,Ordinateur portable,39,665.88,25969.32,20510.42,5458.9
2025-12-25,Nord,Ecran 27 pouces,21,153.22,3217.62,2173.93,1043.69
2025-12-26,Nord,Casque audio,35,125.25,4383.75,3369.96,1013.79
2025-12-27,Est,Webcam HD,19,32.63,619.97,409.34,210.63
2025-12-30,Sud,Clavier mecanique,36,78.56,2828.16,1901.65,926.51
